Text,Sentiment
"Chainlink recorded a 0.28% change in the last 24 hours, with a trading volume of $4525775.78 and market cap $45608757880.43. News sentiment score is -0.441 and social sentiment is -0.011.",Negative
"Bitcoin recorded a -11.98% change in the last 24 hours, with a trading volume of $2001762.51 and market cap $749888939803256.5. News sentiment score is 0.043 and social sentiment is -0.144.",Negative
"Chainlink recorded a 5.07% change in the last 24 hours, with a trading volume of $1510723.57 and market cap $235784665921.46. News sentiment score is 0.416 and social sentiment is 0.59.",Neutral
"Chainlink recorded a -12.83% change in the last 24 hours, with a trading volume of $1772080.98 and market cap $233698500942.67. News sentiment score is 0.089 and social sentiment is 0.223.",Negative
"Solana recorded a 6.39% change in the last 24 hours, with a trading volume of $2014827.41 and market cap $524782259010.97. News sentiment score is 0.398 and social sentiment is 0.421.",Negative
"Avalanche recorded a 6.03% change in the last 24 hours, with a trading volume of $5519349.3 and market cap $276701851340.84. News sentiment score is -0.374 and social sentiment is -0.302.",Negative
"Ethereum recorded a 9.74% change in the last 24 hours, with a trading volume of $1824196.24 and market cap $19474958616368.21. News sentiment score is 0.064 and social sentiment is -0.062.",Negative
"Chainlink recorded a 8.05% change in the last 24 hours, with a trading volume of $3543866.42 and market cap $91045461170.64. News sentiment score is -0.069 and social sentiment is -0.399.",Negative
"Ethereum recorded a 5.56% change in the last 24 hours, with a trading volume of $3023396.68 and market cap $30236414340772.41. News sentiment score is 0.493 and social sentiment is 0.929.",Neutral
"Solana recorded a -2.12% change in the last 24 hours, with a trading volume of $1452953.53 and market cap $1470384614072.51. News sentiment score is -0.107 and social sentiment is 0.345.",Negative
"Bitcoin recorded a -5.63% change in the last 24 hours, with a trading volume of $261930.81 and market cap $266358978937483.7. News sentiment score is 0.375 and social sentiment is 0.285.",Negative
"Polkadot recorded a 8.67% change in the last 24 hours, with a trading volume of $3313608.05 and market cap $53985902860.49. News sentiment score is 0.142 and social sentiment is -0.197.",Negative
"Cardano recorded a 0.41% change in the last 24 hours, with a trading volume of $1136170.22 and market cap $3237846671.39. News sentiment score is -0.101 and social sentiment is 0.046.",Negative
"Solana recorded a -0.31% change in the last 24 hours, with a trading volume of $669820.54 and market cap $847298151918.38. News sentiment score is 0.372 and social sentiment is 0.388.",Negative
"Cosmos recorded a 1.91% change in the last 24 hours, with a trading volume of $26272885.81 and market cap $198970754115.76. News sentiment score is -0.051 and social sentiment is -0.316.",Negative
"Solana recorded a 4.52% change in the last 24 hours, with a trading volume of $3722327.49 and market cap $525325922214.06. News sentiment score is 0.143 and social sentiment is 0.074.",Negative
"Solana recorded a -13.73% change in the last 24 hours, with a trading volume of $1104873.68 and market cap $1659937347270.07. News sentiment score is 0.155 and social sentiment is 0.059.",Negative
"Ethereum recorded a 2.82% change in the last 24 hours, with a trading volume of $4140046.35 and market cap $71705113136476.25. News sentiment score is 0.65 and social sentiment is 0.318.",Positive
"Bitcoin recorded a 14.1% change in the last 24 hours, with a trading volume of $8041145.67 and market cap $93753576157725.78. News sentiment score is -0.273 and social sentiment is 0.064.",Negative
"Cardano recorded a 10.15% change in the last 24 hours, with a trading volume of $2312345.45 and market cap $6298691288.01. News sentiment score is -0.482 and social sentiment is 0.173.",Negative
"Chainlink recorded a -12.84% change in the last 24 hours, with a trading volume of $9500839.65 and market cap $75980751906.9. News sentiment score is 0.109 and social sentiment is -0.11.",Negative
"Cardano recorded a -4.63% change in the last 24 hours, with a trading volume of $2111979.32 and market cap $6122056347.85. News sentiment score is 0.27 and social sentiment is -0.421.",Negative
"Cosmos recorded a 3.84% change in the last 24 hours, with a trading volume of $15768878.8 and market cap $213832441928.14. News sentiment score is -0.164 and social sentiment is 0.11.",Negative
"Cardano recorded a -0.67% change in the last 24 hours, with a trading volume of $2731333.7 and market cap $8101593868.56. News sentiment score is -0.377 and social sentiment is -0.155.",Negative
"Cosmos recorded a 0.31% change in the last 24 hours, with a trading volume of $838267.02 and market cap $32007261884.79. News sentiment score is 0.431 and social sentiment is 0.607.",Neutral
"Polygon recorded a -8.87% change in the last 24 hours, with a trading volume of $1377797.83 and market cap $8981469374.23. News sentiment score is -0.08 and social sentiment is 0.154.",Negative
"Avalanche recorded a 2.15% change in the last 24 hours, with a trading volume of $14066474.96 and market cap $564884038867.25. News sentiment score is 0.166 and social sentiment is 0.156.",Negative
"Algorand recorded a -1.34% change in the last 24 hours, with a trading volume of $31166716.39 and market cap $4484157217.8. News sentiment score is -0.083 and social sentiment is -0.052.",Negative
"Solana recorded a 6.23% change in the last 24 hours, with a trading volume of $694720.51 and market cap $855688139998.38. News sentiment score is -0.139 and social sentiment is -0.133.",Negative
"Solana recorded a 9.68% change in the last 24 hours, with a trading volume of $8524819.4 and market cap $1198727627004.8. News sentiment score is 0.313 and social sentiment is -0.248.",Negative
"Bitcoin recorded a -7.32% change in the last 24 hours, with a trading volume of $1995569.75 and market cap $370059297364194.8. News sentiment score is -0.262 and social sentiment is -0.465.",Negative
"Polygon recorded a -3.95% change in the last 24 hours, with a trading volume of $1666755.58 and market cap $20061324399.39. News sentiment score is -0.053 and social sentiment is 0.236.",Negative
"Cosmos recorded a -4.85% change in the last 24 hours, with a trading volume of $6264025.38 and market cap $163694890385.64. News sentiment score is -0.062 and social sentiment is 0.588.",Negative
"Bitcoin recorded a 9.2% change in the last 24 hours, with a trading volume of $5778067.21 and market cap $625961539276780.0. News sentiment score is -0.141 and social sentiment is -0.179.",Negative
"Ethereum recorded a 8.37% change in the last 24 hours, with a trading volume of $10454123.1 and market cap $18687161277648.39. News sentiment score is 0.286 and social sentiment is -0.225.",Negative
"Ethereum recorded a 5.84% change in the last 24 hours, with a trading volume of $1534003.7 and market cap $52586003037653.05. News sentiment score is -0.188 and social sentiment is 0.094.",Negative
"Ethereum recorded a 8.89% change in the last 24 hours, with a trading volume of $1099604.9 and market cap $16832403297407.67. News sentiment score is -0.088 and social sentiment is -0.304.",Negative
"Bitcoin recorded a -7.05% change in the last 24 hours, with a trading volume of $1678648.72 and market cap $565821674271122.6. News sentiment score is -0.061 and social sentiment is 0.232.",Negative
"Solana recorded a 3.93% change in the last 24 hours, with a trading volume of $5406547.35 and market cap $888536251884.76. News sentiment score is 0.448 and social sentiment is 0.193.",Neutral
"Chainlink recorded a 7.69% change in the last 24 hours, with a trading volume of $10284837.35 and market cap $113401225220.27. News sentiment score is -0.088 and social sentiment is -0.591.",Negative
"Cardano recorded a 3.59% change in the last 24 hours, with a trading volume of $7113725.84 and market cap $8682152239.83. News sentiment score is -0.314 and social sentiment is -0.385.",Negative
"Cosmos recorded a 3.02% change in the last 24 hours, with a trading volume of $206066.44 and market cap $61801349303.14. News sentiment score is 0.253 and social sentiment is 0.621.",Negative
"Avalanche recorded a 7.68% change in the last 24 hours, with a trading volume of $1875469.19 and market cap $552484017585.2. News sentiment score is 0.168 and social sentiment is 0.283.",Negative
"Avalanche recorded a -11.4% change in the last 24 hours, with a trading volume of $6937350.88 and market cap $497697365047.94. News sentiment score is -0.232 and social sentiment is -0.156.",Negative
"Avalanche recorded a 11.71% change in the last 24 hours, with a trading volume of $810339.53 and market cap $374786563663.59. News sentiment score is -0.449 and social sentiment is -0.247.",Negative
"Ethereum recorded a 3.56% change in the last 24 hours, with a trading volume of $2417830.93 and market cap $39375356631160.52. News sentiment score is 0.277 and social sentiment is 0.177.",Negative
"Cosmos recorded a 14.31% change in the last 24 hours, with a trading volume of $2874973.58 and market cap $105936581467.35. News sentiment score is -0.192 and social sentiment is -0.532.",Negative
"Chainlink recorded a 2.84% change in the last 24 hours, with a trading volume of $767006.66 and market cap $50695859701.83. News sentiment score is -0.596 and social sentiment is -0.379.",Negative
"Chainlink recorded a -1.75% change in the last 24 hours, with a trading volume of $2308761.2 and market cap $150917203917.58. News sentiment score is 0.156 and social sentiment is 0.604.",Negative
"Algorand recorded a 6.77% change in the last 24 hours, with a trading volume of $3415076.79 and market cap $4199278443.18. News sentiment score is 0.284 and social sentiment is 0.062.",Negative
"Solana recorded a 0.61% change in the last 24 hours, with a trading volume of $430043.29 and market cap $1370122330800.3. News sentiment score is -0.325 and social sentiment is -0.088.",Negative
"Algorand recorded a -10.56% change in the last 24 hours, with a trading volume of $5522474.26 and market cap $1159335477.4. News sentiment score is -0.188 and social sentiment is -0.321.",Negative
"Cosmos recorded a -3.76% change in the last 24 hours, with a trading volume of $16631476.0 and market cap $34609967784.76. News sentiment score is -0.036 and social sentiment is -0.006.",Negative
"Polygon recorded a 0.11% change in the last 24 hours, with a trading volume of $676562.32 and market cap $9153586820.6. News sentiment score is -0.656 and social sentiment is -0.063.",Negative
"Ethereum recorded a -2.59% change in the last 24 hours, with a trading volume of $9194647.76 and market cap $38580499694571.15. News sentiment score is -0.168 and social sentiment is -0.11.",Negative
"Polygon recorded a -9.42% change in the last 24 hours, with a trading volume of $4862773.89 and market cap $14859108195.33. News sentiment score is 0.005 and social sentiment is 0.024.",Negative
"Avalanche recorded a 0.05% change in the last 24 hours, with a trading volume of $18148392.7 and market cap $517743141562.14. News sentiment score is -0.638 and social sentiment is -0.264.",Negative
"Algorand recorded a -6.59% change in the last 24 hours, with a trading volume of $2349996.27 and market cap $2883985478.31. News sentiment score is -0.254 and social sentiment is -0.475.",Negative
"Algorand recorded a 0.08% change in the last 24 hours, with a trading volume of $32929994.43 and market cap $474137798.35. News sentiment score is 0.102 and social sentiment is 0.327.",Negative
"Avalanche recorded a -1.36% change in the last 24 hours, with a trading volume of $700776.11 and market cap $731496718278.09. News sentiment score is -0.082 and social sentiment is -0.084.",Negative
"Bitcoin recorded a 7.83% change in the last 24 hours, with a trading volume of $4867342.25 and market cap $793548321951418.8. News sentiment score is 0.379 and social sentiment is 0.097.",Negative
"Algorand recorded a 4.32% change in the last 24 hours, with a trading volume of $328253.66 and market cap $7148676801.49. News sentiment score is 0.212 and social sentiment is 0.328.",Negative
"Avalanche recorded a -0.52% change in the last 24 hours, with a trading volume of $3496435.54 and market cap $487089351818.66. News sentiment score is -0.692 and social sentiment is -0.886.",Negative
"Chainlink recorded a 0.01% change in the last 24 hours, with a trading volume of $1078001.24 and market cap $291048048557.4. News sentiment score is 0.779 and social sentiment is 0.497.",Positive
"Ethereum recorded a 0.55% change in the last 24 hours, with a trading volume of $30620727.27 and market cap $45990820849906.11. News sentiment score is -0.758 and social sentiment is -0.619.",Negative
"Chainlink recorded a 7.55% change in the last 24 hours, with a trading volume of $1022994.64 and market cap $278529463429.35. News sentiment score is 0.556 and social sentiment is -0.105.",Neutral
"Cardano recorded a -1.7% change in the last 24 hours, with a trading volume of $2159254.04 and market cap $1029718976.45. News sentiment score is -0.195 and social sentiment is -0.454.",Negative
"Chainlink recorded a -4.63% change in the last 24 hours, with a trading volume of $3108066.12 and market cap $16295259403.98. News sentiment score is -0.393 and social sentiment is 0.061.",Negative
"Polygon recorded a -3.46% change in the last 24 hours, with a trading volume of $2301615.4 and market cap $7700124193.86. News sentiment score is -0.165 and social sentiment is 0.361.",Negative
"Polygon recorded a -6.73% change in the last 24 hours, with a trading volume of $3021478.4 and market cap $15621077332.46. News sentiment score is 0.159 and social sentiment is 0.403.",Negative
"Cardano recorded a -6.93% change in the last 24 hours, with a trading volume of $14242429.45 and market cap $4995083904.55. News sentiment score is 0.293 and social sentiment is -0.228.",Negative
"Bitcoin recorded a -3.52% change in the last 24 hours, with a trading volume of $10246814.24 and market cap $581757061315151.8. News sentiment score is -0.101 and social sentiment is 0.196.",Negative
"Cardano recorded a -0.73% change in the last 24 hours, with a trading volume of $6093710.2 and market cap $2055963607.83. News sentiment score is -0.089 and social sentiment is 0.369.",Negative
"Cosmos recorded a -4.09% change in the last 24 hours, with a trading volume of $3392290.26 and market cap $49463853383.1. News sentiment score is -0.577 and social sentiment is -0.739.",Negative
"Solana recorded a 0.07% change in the last 24 hours, with a trading volume of $3583345.09 and market cap $579705789396.34. News sentiment score is -0.058 and social sentiment is -0.263.",Negative
"Chainlink recorded a -14.33% change in the last 24 hours, with a trading volume of $23302646.47 and market cap $285608814232.35. News sentiment score is 0.087 and social sentiment is -0.272.",Negative
"Ethereum recorded a -1.28% change in the last 24 hours, with a trading volume of $3255546.63 and market cap $55310003161105.77. News sentiment score is -0.527 and social sentiment is -0.332.",Negative
"Ethereum recorded a -6.03% change in the last 24 hours, with a trading volume of $3591554.29 and market cap $31608398959342.93. News sentiment score is -0.451 and social sentiment is 0.224.",Negative
"Polkadot recorded a 2.04% change in the last 24 hours, with a trading volume of $6211828.49 and market cap $133436024842.55. News sentiment score is -0.156 and social sentiment is 0.068.",Negative
"Ethereum recorded a -3.44% change in the last 24 hours, with a trading volume of $11212509.85 and market cap $16448858253127.7. News sentiment score is -0.284 and social sentiment is -0.232.",Negative
"Polkadot recorded a 12.48% change in the last 24 hours, with a trading volume of $279064.9 and market cap $5336245135.02. News sentiment score is 0.184 and social sentiment is 0.308.",Negative
"Ethereum recorded a -6.85% change in the last 24 hours, with a trading volume of $6918539.17 and market cap $21149040427145.52. News sentiment score is -0.232 and social sentiment is 0.033.",Negative
"Solana recorded a -2.67% change in the last 24 hours, with a trading volume of $7804472.23 and market cap $400018571850.05. News sentiment score is 0.385 and social sentiment is -0.039.",Negative
"Ethereum recorded a 6.82% change in the last 24 hours, with a trading volume of $1910703.29 and market cap $23217130983322.02. News sentiment score is 0.244 and social sentiment is -0.04.",Negative
"Ethereum recorded a 3.55% change in the last 24 hours, with a trading volume of $1064300.58 and market cap $49619706821306.05. News sentiment score is 0.479 and social sentiment is -0.042.",Neutral
"Solana recorded a -7.57% change in the last 24 hours, with a trading volume of $1109115.31 and market cap $163597133558.88. News sentiment score is 0.132 and social sentiment is 0.099.",Negative
"Ethereum recorded a -9.5% change in the last 24 hours, with a trading volume of $2206164.06 and market cap $5864853361208.48. News sentiment score is 0.352 and social sentiment is 0.35.",Negative
"Polygon recorded a 0.2% change in the last 24 hours, with a trading volume of $22369466.97 and market cap $16190808129.71. News sentiment score is 0.186 and social sentiment is -0.079.",Negative
"Avalanche recorded a -6.0% change in the last 24 hours, with a trading volume of $9173798.98 and market cap $236862204250.71. News sentiment score is 0.206 and social sentiment is 0.374.",Negative
"Algorand recorded a -4.9% change in the last 24 hours, with a trading volume of $627932.91 and market cap $3847616870.03. News sentiment score is 0.147 and social sentiment is -0.084.",Negative
"Ethereum recorded a 14.54% change in the last 24 hours, with a trading volume of $4744230.18 and market cap $66161965230705.77. News sentiment score is 0.318 and social sentiment is 0.191.",Negative
"Cosmos recorded a 0.44% change in the last 24 hours, with a trading volume of $11640191.72 and market cap $196250434340.18. News sentiment score is 0.413 and social sentiment is 0.208.",Neutral
"Bitcoin recorded a -2.57% change in the last 24 hours, with a trading volume of $3388939.38 and market cap $31891139642103.17. News sentiment score is -0.582 and social sentiment is -0.125.",Negative
"Ethereum recorded a -5.54% change in the last 24 hours, with a trading volume of $1567736.83 and market cap $35317131237843.86. News sentiment score is 0.503 and social sentiment is 0.413.",Neutral
"Algorand recorded a -2.06% change in the last 24 hours, with a trading volume of $4997798.18 and market cap $5129950030.31. News sentiment score is -0.406 and social sentiment is 0.043.",Negative
"Polkadot recorded a 2.38% change in the last 24 hours, with a trading volume of $3228780.18 and market cap $140911796116.22. News sentiment score is 0.205 and social sentiment is 0.119.",Negative
"Chainlink recorded a -2.68% change in the last 24 hours, with a trading volume of $1513398.22 and market cap $200732293335.79. News sentiment score is -0.068 and social sentiment is -0.094.",Negative
"Ethereum recorded a -2.09% change in the last 24 hours, with a trading volume of $11770195.84 and market cap $33710373870072.63. News sentiment score is -0.0 and social sentiment is -0.191.",Negative
"Avalanche recorded a -5.29% change in the last 24 hours, with a trading volume of $4417255.22 and market cap $69228130919.41. News sentiment score is -0.295 and social sentiment is 0.176.",Negative
"Cosmos recorded a 10.7% change in the last 24 hours, with a trading volume of $3851024.29 and market cap $181981128205.83. News sentiment score is 0.009 and social sentiment is -0.013.",Negative
"Bitcoin recorded a 10.97% change in the last 24 hours, with a trading volume of $6391344.54 and market cap $660067105953989.9. News sentiment score is -0.169 and social sentiment is -0.089.",Negative
"Ethereum recorded a -7.86% change in the last 24 hours, with a trading volume of $2176206.19 and market cap $24207215473323.33. News sentiment score is 0.091 and social sentiment is 0.544.",Negative
"Bitcoin recorded a 6.42% change in the last 24 hours, with a trading volume of $9602663.31 and market cap $626095233836133.9. News sentiment score is -0.149 and social sentiment is -0.906.",Negative
"Polygon recorded a 8.3% change in the last 24 hours, with a trading volume of $3357558.29 and market cap $18092935934.69. News sentiment score is -0.713 and social sentiment is -0.575.",Negative
"Avalanche recorded a -12.63% change in the last 24 hours, with a trading volume of $11790628.53 and market cap $196850404711.24. News sentiment score is -0.421 and social sentiment is -0.245.",Negative
"Chainlink recorded a -12.99% change in the last 24 hours, with a trading volume of $13691736.04 and market cap $179370650527.27. News sentiment score is 0.084 and social sentiment is 0.228.",Negative
"Cardano recorded a 5.0% change in the last 24 hours, with a trading volume of $1606114.14 and market cap $5005755244.14. News sentiment score is -0.422 and social sentiment is -0.499.",Negative
"Ethereum recorded a 2.05% change in the last 24 hours, with a trading volume of $1430463.06 and market cap $16666454956622.66. News sentiment score is 0.073 and social sentiment is -0.271.",Negative
"Bitcoin recorded a 13.02% change in the last 24 hours, with a trading volume of $3437666.56 and market cap $157539905544968.9. News sentiment score is -0.229 and social sentiment is -0.354.",Negative
"Polygon recorded a -8.53% change in the last 24 hours, with a trading volume of $4789627.18 and market cap $2054869695.76. News sentiment score is -0.461 and social sentiment is -0.214.",Negative
"Avalanche recorded a 4.33% change in the last 24 hours, with a trading volume of $1832875.77 and market cap $718833776607.74. News sentiment score is 0.133 and social sentiment is 0.159.",Negative
"Chainlink recorded a -3.2% change in the last 24 hours, with a trading volume of $427828.23 and market cap $245682303143.92. News sentiment score is 0.053 and social sentiment is -0.167.",Negative
"Chainlink recorded a -8.19% change in the last 24 hours, with a trading volume of $541475.52 and market cap $191891505150.94. News sentiment score is 0.022 and social sentiment is -0.006.",Negative
"Polkadot recorded a -19.72% change in the last 24 hours, with a trading volume of $2589968.14 and market cap $87575537658.55. News sentiment score is -0.113 and social sentiment is -0.146.",Negative
"Polygon recorded a 12.96% change in the last 24 hours, with a trading volume of $18627779.99 and market cap $19191658236.79. News sentiment score is 0.116 and social sentiment is 0.205.",Negative
"Chainlink recorded a -9.18% change in the last 24 hours, with a trading volume of $1905031.29 and market cap $300947976157.55. News sentiment score is -0.012 and social sentiment is -0.384.",Negative
"Polygon recorded a -7.19% change in the last 24 hours, with a trading volume of $5221301.21 and market cap $6880618255.19. News sentiment score is 0.04 and social sentiment is -0.115.",Negative
"Ethereum recorded a 4.84% change in the last 24 hours, with a trading volume of $4220495.38 and market cap $43066081058260.06. News sentiment score is -0.204 and social sentiment is -0.373.",Negative
"Cardano recorded a 5.62% change in the last 24 hours, with a trading volume of $11369778.64 and market cap $6251670277.55. News sentiment score is -0.174 and social sentiment is 0.102.",Negative
"Algorand recorded a 12.69% change in the last 24 hours, with a trading volume of $8740042.77 and market cap $1025316784.99. News sentiment score is 0.51 and social sentiment is 0.161.",Neutral
"Chainlink recorded a 8.58% change in the last 24 hours, with a trading volume of $7295031.71 and market cap $67383735724.43. News sentiment score is -0.032 and social sentiment is -0.311.",Negative
"Algorand recorded a -7.79% change in the last 24 hours, with a trading volume of $5037948.6 and market cap $5652350193.05. News sentiment score is 0.166 and social sentiment is 0.565.",Negative
"Solana recorded a -2.13% change in the last 24 hours, with a trading volume of $5909511.75 and market cap $588238947181.55. News sentiment score is 0.612 and social sentiment is 0.254.",Positive
"Solana recorded a -10.76% change in the last 24 hours, with a trading volume of $5065348.44 and market cap $782890519657.51. News sentiment score is 0.005 and social sentiment is -0.182.",Negative
"Polkadot recorded a -13.95% change in the last 24 hours, with a trading volume of $3830764.84 and market cap $29502033953.73. News sentiment score is -0.016 and social sentiment is -0.204.",Negative
"Ethereum recorded a 7.39% change in the last 24 hours, with a trading volume of $8366334.84 and market cap $59498614759058.91. News sentiment score is 0.391 and social sentiment is -0.096.",Negative
"Algorand recorded a 0.38% change in the last 24 hours, with a trading volume of $3663739.82 and market cap $916958692.57. News sentiment score is -0.129 and social sentiment is -0.309.",Negative
"Algorand recorded a -2.28% change in the last 24 hours, with a trading volume of $2047367.24 and market cap $7091715603.14. News sentiment score is 0.015 and social sentiment is -0.249.",Negative
"Chainlink recorded a -13.25% change in the last 24 hours, with a trading volume of $1432524.0 and market cap $244730453136.62. News sentiment score is 0.455 and social sentiment is 0.357.",Neutral
